id,entity_id,category_id,,,,,,,
,97,,#N/A,#N/A,BUDMAN SRL,www.budmansrl.arnetbiz.com.ar,"Fabricación de calzado de materiales n.c.p., excepto calzado deportivo y ortopédico",Fabricación de calzado deportivo,
,98,,#N/A,#N/A,LA ESPAÑOLA MOSAICOS SRL,www.laespanola.com.ar,Fabricación de mosaicos,,
,99,,#N/A,#N/A,MULTICAJAS SA,www.multicajas.com.ar,Fabricación de artículos de papel y cartón n.c.p. (No incluye el papel de lija: 239900),,
,100,,#N/A,#N/A,SOLA CONSTRUCCIONES SA,www.sola.com.ar,"Fabricación de artículos de cemento, fibrocemento y yeso excepto hormigón y mosaicos",,
,101,,#N/A,#N/A,FIESA SRL,www.ejemplo.com,Fabricación de equipo eléctrico n.c.p.,Venta al por mayor de máquinas y equipo de control y seguridad,
,102,,#N/A,#N/A,DISTRIBUIDORA MARTELLI SA,,Recauchutado y renovación de cubiertas,Venta al por menor de cámaras y cubiertas,
,103,,#N/A,#N/A,TECAL SA,www.cavatini.com.ar,"Fabricación de calzado de cuero, excepto calzado deportivo y ortopédico",Fabricación de calzado deportivo,
,104,,#N/A,#N/A,SUPERTECH SA,www.supertech.com.ar,Fabricación de papel y cartón excepto envases,Fabricación de artículos de papel y cartón n.c.p. (No incluye el papel de lija: 239900),
,105,,#N/A,#N/A,MADENORT SRL,,Aserrado y cepillado de madera nativa,Fabricación de carpintería metálica,
,106,,#N/A,#N/A,INDUSTRIAS ITAL GROUP SA,www.italgroup-sa.com.ar,Fabricación de equipo de transporte n.c.p.,Fabricación de productos textiles n.c.p.,
,107,,#N/A,#N/A,COOPERATIVA DE PROVISION DE SERVICIOS PUBLICOS DE FREYRE LIMITADA,,"Fabricación de artículos de cemento, fibrocemento y yeso excepto hormigón y mosaicos","Fabricación de artículos de cemento, fibrocemento y yeso excepto hormigón y mosaicos",
,108,,#N/A,#N/A,ESTABLECIMIENTOS CAPORASO SACIFIYA,www.caporaso.com.ar,"Fabricación de muebles y partes de muebles, principalmente de madera",Fabricación de hojas de madera para enchapado fabricación de tableros contrachapados tableros laminados tableros de partículas y tableros y paneles n.c.p. (Incluye la fabricación de madera terciada y machimbre),
,109,,#N/A,#N/A,SWEARTERS ROMANO SRL,www.romano.com.ar,Fabricación de prendas de vestir y artículos similares de punto,"Fabricación de artículos confeccionados de materiales textiles n.c.p., excepto prendas de vestir",
,110,,#N/A,#N/A,SACCHI HERMANOS SCC,www.sacchiweb.com.ar,Fabricación de productos de caucho n.c.p.,Venta al por mayor de materiales y productos de limpieza,
,111,,#N/A,#N/A,SAR SUELA SRL,,"Fabricación de calzado de materiales n.c.p., excepto calzado deportivo y ortopédico",,
,112,,#N/A,#N/A,SIDERCON SRL,www.sidercon.com,Fabricación de carpintería metálica,Venta al por mayor de artículos para la construcción n.c.p. (No incluye artículos y materiales de demolición: 466990),
,113,,#N/A,#N/A,ESTEX ARGENTINA SRL,www.texarsrl.com.ar,Acabado de productos textiles,,
,114,,#N/A,#N/A,GRUPO SV ITHI,www.corbella.com.ar,Acabado de productos textiles,Servicios personales n.c.p.,
,115,,#N/A,#N/A,AEROMEDICAL SA,www.aeromedical.com.ar,"Fabricación de equipo médico y quirúrgico y de aparatos ortopédicos n.c.p, (Incluye prótesis, aparatos ortopédicos, materiales para fracturas, etc.)",,
,116,,#N/A,#N/A,CROMA 4 SA,www.croma4.com,Servicios relacionados con la impresión,,
,117,,#N/A,#N/A,PROIETTO Y LAMARQUE SA,www.lamarquenet.com,Servicios relacionados con la impresión,"Servicios de apoyo para la minería, excepto para la extracción de petróleo y gas natural",
